Name,Sex,Date,StateChange
Satan,Male,5/30/21,5
Ziggy,Male,5/30/21,5
Alvin,Male,5/31/21,4
April,Female,5/31/21,4
Betty,Female,5/31/21,39
Bugs,Male,5/31/21,5
Carmen,Female,5/31/21,4
Chip,Male,5/31/21,16
Dale,Male,5/31/21,2
Dot,Female,5/31/21,4
Elsa,Female,5/31/21,6
Felix,Male,5/31/21,6
Fiona,Female,5/31/21,2
Granny,Female,5/31/21,12
Grouch,Male,5/31/21,6
Hubert,Male,5/31/21,14
Marlo,Female,5/31/21,10
Satan,Male,5/31/21,1
Ziggy,Male,5/31/21,7
Alvin,Male,6/1/21,2
April,Female,6/1/21,10
Betty,Female,6/1/21,32
Bugs,Male,6/1/21,10
Carmen,Female,6/1/21,6
Chip,Male,6/1/21,12
Dale,Male,6/1/21,8
Dot,Female,6/1/21,12
Elsa,Female,6/1/21,14
Felix,Male,6/1/21,8
Fiona,Female,6/1/21,6
Granny,Female,6/1/21,10
Grouch,Male,6/1/21,4
Hubert,Male,6/1/21,6
Marlo,Female,6/1/21,6
Satan,Male,6/1/21,1
Ziggy,Male,6/1/21,13
Alvin,Male,6/2/21,4
April,Female,6/2/21,6
Betty,Female,6/2/21,30
Bugs,Male,6/2/21,6
Carmen,Female,6/2/21,8
Chip,Male,6/2/21,8
Dale,Male,6/2/21,4
Dot,Female,6/2/21,4
Elsa,Female,6/2/21,6
Felix,Male,6/2/21,6
Fiona,Female,6/2/21,4
Granny,Female,6/2/21,6
Grouch,Male,6/2/21,12
Hubert,Male,6/2/21,8
Marlo,Female,6/2/21,6
Satan,Male,6/2/21,3
Ziggy,Male,6/2/21,3
Alvin,Male,6/3/21,2
April,Female,6/3/21,18
Betty,Female,6/3/21,40
Bugs,Male,6/3/21,12
Carmen,Female,6/3/21,4
Chip,Male,6/3/21,10
Dale,Male,6/3/21,2
Dot,Female,6/3/21,8
Elsa,Female,6/3/21,14
Felix,Male,6/3/21,10
Fiona,Female,6/3/21,8
Granny,Female,6/3/21,16
Grouch,Male,6/3/21,4
Hubert,Male,6/3/21,10
Marlo,Female,6/3/21,8
Satan,Male,6/3/21,1
Ziggy,Male,6/3/21,11
Alvin,Male,6/4/21,8
April,Female,6/4/21,10
Betty,Female,6/4/21,38
Bugs,Male,6/4/21,6
Carmen,Female,6/4/21,6
Chip,Male,6/4/21,10
Dale,Male,6/4/21,4
Dot,Female,6/4/21,14
Elsa,Female,6/4/21,18
Felix,Male,6/4/21,8
Fiona,Female,6/4/21,6
Granny,Female,6/4/21,8
Grouch,Male,6/4/21,4
Hubert,Male,6/4/21,12
Marlo,Female,6/4/21,14
Satan,Male,6/4/21,1
Ziggy,Male,6/4/21,7
Alvin,Male,6/5/21,8
April,Female,6/5/21,10
Betty,Female,6/5/21,24
Bugs,Male,6/5/21,6
Carmen,Female,6/5/21,8
Chip,Male,6/5/21,10
Dale,Male,6/5/21,0
Dot,Female,6/5/21,12
Elsa,Female,6/5/21,24
Felix,Male,6/5/21,12
Fiona,Female,6/5/21,12
Granny,Female,6/5/21,12
Grouch,Male,6/5/21,4
Hubert,Male,6/5/21,12
Marlo,Female,6/5/21,14
Satan,Male,6/5/21,1
Ziggy,Male,6/5/21,13
Alvin,Male,6/6/21,18
April,Female,6/6/21,6
Betty,Female,6/6/21,20
Bugs,Male,6/6/21,14
Carmen,Female,6/6/21,20
Chip,Male,6/6/21,8
Dale,Male,6/6/21,4
Dot,Female,6/6/21,12
Elsa,Female,6/6/21,14
Felix,Male,6/6/21,16
Fiona,Female,6/6/21,6
Granny,Female,6/6/21,14
Grouch,Male,6/6/21,8
Hubert,Male,6/6/21,24
Marlo,Female,6/6/21,4
Satan,Male,6/6/21,3
Ziggy,Male,6/6/21,7
Alvin,Male,6/7/21,4
April,Female,6/7/21,12
Betty,Female,6/7/21,43
Bugs,Male,6/7/21,11
Carmen,Female,6/7/21,22
Chip,Male,6/7/21,14
Dale,Male,6/7/21,0
Dot,Female,6/7/21,6
Elsa,Female,6/7/21,10
Felix,Male,6/7/21,8
Fiona,Female,6/7/21,8
Granny,Female,6/7/21,2
Grouch,Male,6/7/21,4
Hubert,Male,6/7/21,6
Marlo,Female,6/7/21,14
Satan,Male,6/7/21,1
Ziggy,Male,6/7/21,5
Alvin,Male,6/8/21,4
April,Female,6/8/21,8
Betty,Female,6/8/21,42
Bugs,Male,6/8/21,14
Carmen,Female,6/8/21,6
Chip,Male,6/8/21,6
Dale,Male,6/8/21,2
Dot,Female,6/8/21,4
Elsa,Female,6/8/21,16
Felix,Male,6/8/21,12
Fiona,Female,6/8/21,16
Granny,Female,6/8/21,14
Grouch,Male,6/8/21,8
Hubert,Male,6/8/21,10
Marlo,Female,6/8/21,12
Satan,Male,6/8/21,1
Ziggy,Male,6/8/21,9
Alvin,Male,6/9/21,8
April,Female,6/9/21,6
Betty,Female,6/9/21,20
Bugs,Male,6/9/21,12
Carmen,Female,6/9/21,10
Chip,Male,6/9/21,20
Dale,Male,6/9/21,2
Dot,Female,6/9/21,8
Elsa,Female,6/9/21,8
Felix,Male,6/9/21,16
Fiona,Female,6/9/21,8
Granny,Female,6/9/21,24
Grouch,Male,6/9/21,6
Hubert,Male,6/9/21,10
Marlo,Female,6/9/21,8
Satan,Male,6/9/21,1
Ziggy,Male,6/9/21,9
Alvin,Male,6/10/21,8
April,Female,6/10/21,12
Betty,Female,6/10/21,12
Bugs,Male,6/10/21,8
Carmen,Female,6/10/21,6
Chip,Male,6/10/21,6
Dale,Male,6/10/21,0
Dot,Female,6/10/21,5
Elsa,Female,6/10/21,11
Felix,Male,6/10/21,6
Fiona,Female,6/10/21,10
Granny,Female,6/10/21,6
Grouch,Male,6/10/21,8
Hubert,Male,6/10/21,6
Marlo,Female,6/10/21,21
Satan,Male,6/10/21,0
Ziggy,Male,6/10/21,9
Alvin,Male,6/11/21,6
April,Female,6/11/21,8
Betty,Female,6/11/21,10
Bugs,Male,6/11/21,8
Carmen,Female,6/11/21,10
Chip,Male,6/11/21,10
Dale,Male,6/11/21,6
Dot,Female,6/11/21,14
Elsa,Female,6/11/21,18
Felix,Male,6/11/21,6
Fiona,Female,6/11/21,12
Granny,Female,6/11/21,2
Grouch,Male,6/11/21,4
Hubert,Male,6/11/21,2
Marlo,Female,6/11/21,4
Satan,Male,6/11/21,9
Ziggy,Male,6/11/21,7
Alvin,Male,6/12/21,10
April,Female,6/12/21,2
Betty,Female,6/12/21,10
Bugs,Male,6/12/21,8
Carmen,Female,6/12/21,4
Chip,Male,6/12/21,18
Dale,Male,6/12/21,0
Dot,Female,6/12/21,0
Elsa,Female,6/12/21,6
Felix,Male,6/12/21,8
